county_fips_code,study_year,unr_16,funr_16,munr_16,unr_20to64,funr_20to64,munr_20to64,flfpr_20to64,flfpr_20to64_under6,flfpr_20to64_6to17,flfpr_20to64_under6_6to17,mlfpr_20to64,pr_f,pr_p,mhi_2018,me_2018,fme_2018,mme_2018,total_pop,one_race,one_race_w,one_race_b,one_race_i,one_race_a,one_race_h,one_race_other,two_races,hispanic,households,h_under6_both_work,h_under6_f_work,h_under6_m_work,h_under6_single_m,h_6to17_both_work,h_6to17_fwork,h_6to17_mwork,h_6to17_single_m,emp_m,memp_m,femp_m,emp_service,memp_service,femp_service,emp_sales,memp_sales,femp_sales,emp_n,memp_n,femp_n,emp_p,memp_p,femp_p,mcsa,mfccsa,mc_infant,mc_toddler,mc_preschool,mfcc_infant,mfcc_toddler,mfcc_preschool,fips
27017,2018,4.22,2.88,5.41,3.9,2.6,5.1,77.1,69.1,90.7,75.4,75.6,6.1,12,60390,33700,28726,40408,35540,97.1,89.3,1.8,5.5,0.5,0,0.1,2.9,1.8,13418,1017,393,7,385,3174,492,143,984,32.16,25.61,39.35,21.97,17.33,27.08,19.63,12.54,27.42,9.74,18.41,0.21,16.5,26.11,5.94,150,130,199,185,175,150,150,140,27017
39129,2018,4.13,4.71,3.63,3.7,3.9,3.4,71.6,57.9,82.9,76.9,65.6,8.9,11.7,62214,34273,31640,37122,57420,98,93.4,3.5,0.2,0.5,0,0.4,2,1.4,19728,1277,887,91,884,4530,902,85,1470,33.26,26.9,40.49,16.69,16.27,17.17,21.97,13.51,31.58,10.06,18.3,0.7,18.02,25.02,10.06,100,120,181,165,145,147.17,140,132.37,39129
36121,2018,5.87,3.89,7.55,5.2,3.6,6.6,74.8,77.2,79.2,74,68.3,7.4,10.9,57914,33838,27386,40643,40565,98.2,91.6,4.5,0.6,0.4,0,1.1,1.8,3.3,15815,1097,560,0,431,2306,998,84,1181,30.18,23.38,37.89,19.49,15.62,23.87,20.11,10.7,30.78,14.94,26.81,1.47,15.29,23.49,5.99,163.83,136.16,200.23,187.49,177.48,145.24,136.16,136.16,36121
37061,2018,9,8.44,9.48,8.8,8.1,9.4,65.7,68.5,76,61.3,80.1,17.6,24.1,38850,22948,18724,27359,59062,98.4,70.6,24.5,0.4,0.3,0.1,2.6,1.6,21.9,21781,935,851,12,1425,3193,1528,340,2666,24.35,18.19,31.56,17.85,14.51,21.76,17.62,8.13,28.7,16.56,27.79,3.45,23.61,31.38,14.53,89.49,99.99,119.99,119.99,115.99,99.99,112.15,107.54,37061
55069,2018,3.85,3.31,4.34,3.8,3.1,4.5,78,76.5,90.2,72.7,84,5.1,9.1,56086,32327,26591,40808,27848,98.2,96.9,0.6,0.4,0.3,0,0,1.8,1.5,12547,672,307,38,294,1940,378,54,667,29.02,23.32,35.37,15.42,10.72,20.64,22.02,12.74,32.35,10.54,18.72,1.43,23.01,34.5,10.22,115,125,150,140,140,125,125,125,55069
27111,2018,3.37,2.2,4.38,2.9,1.8,4,78,80.3,85,83,86.1,5.9,9.2,57131,32315,26763,38953,57992,98.5,95.2,1.4,0.5,0.6,0,0.8,1.5,3.4,24226,2009,760,77,833,4855,1141,209,1311,33.35,28.13,39.31,17.05,11.39,23.52,19.65,12.41,27.93,12.44,22.21,1.28,17.51,25.86,7.96,147,120,175,157,151,130,125,125,27111
31071,2018,0.2,0,0.37,0,0,0,78,84.6,61.6,100,87.4,3.7,7.5,48545,26602,18872,32857,1975,99.2,98.2,0.2,0,0.4,0,0.5,0.8,2,886,58,6,0,31,179,39,0,38,36.05,29.76,43.19,16.11,11.09,21.8,20.14,12.75,28.51,14.83,26.8,1.26,12.87,19.59,5.24,140,105.6,153.6,140,137.8,112,110,110,31071
17181,2018,6.65,6.04,7.14,6.3,4.9,7.4,64.8,73.5,80.4,64.1,76.7,12,18.1,49182,29626,25316,32262,17127,97.8,94.1,1.4,0.1,0.3,0,1.8,2.2,5.1,6669,413,130,39,170,1064,382,90,555,29.17,20.54,39.7,24.3,20.84,28.52,15.86,10.28,22.68,12.55,22.5,0.4,18.12,25.83,8.7,70,62.4,167.65,145,125,125,125,124.8,17181
21123,2018,5.8,6.22,5.45,5.1,6.7,3.9,66.3,81.3,69.7,78.2,80.2,10.5,15.5,41779,25819,20821,32335,14156,98.9,92.9,3.6,0.1,0.5,0,1.9,1.1,3.2,5654,486,210,0,168,791,348,25,490,21.27,15.23,28.54,15.09,9.67,21.63,17.89,7.6,30.29,13.97,23.78,2.14,31.78,43.73,17.39,97.5,85,112.5,102.5,102.5,90,86.25,86.25,21123
48307,2018,2.5,0.93,3.76,2.7,0.8,4.1,65.8,79.8,86.3,77.9,82.7,11,16.1,45329,26869,19583,35500,8098,95.2,83.6,1.8,0,0.2,0,9.6,4.8,31.9,3255,209,65,0,106,457,170,0,295,23.83,20.38,28.01,23.57,15.16,33.74,17.98,5.55,33.04,15.84,28.44,0.58,18.78,30.47,4.62,103.4,95.65,118.6,112.35,107.15,109.1,105.65,102.1,48307
